inventory_id,lot_id,location_id,on_hand_qty,available_qty,reserved_qty,quarantine_qty,last_updated,scenario,data_status
INV0028,LOT0028,LOC01,1026,975,51,0,2026-08-05T18:00:00,expiry,synthetic
INV0029,LOT0029,LOC01,3392,3223,169,0,2026-08-05T18:00:00,transfer,synthetic
INV0030,LOT0030,LOC01,3456,3284,172,0,2026-08-05T18:00:00,transfer,synthetic
INV0031,LOT0031,LOC01,2944,2797,147,0,2026-08-05T18:00:00,transfer,synthetic
INV0032,LOT0032,LOC01,2112,2007,105,0,2026-08-05T18:00:00,transfer,synthetic
INV0033,LOT0033,LOC01,660,608,33,19,2026-08-05T18:00:00,normal,synthetic
INV0034,LOT0034,LOC01,1023,942,51,30,2026-08-05T18:00:00,normal,synthetic
INV0035,LOT0035,LOC01,924,878,46,0,2026-08-05T18:00:00,normal,synthetic
INV0036,LOT0036,LOC01,660,627,33,0,2026-08-05T18:00:00,normal,synthetic
INV0037,LOT0037,LOC01,119,111,5,3,2026-08-05T18:00:00,stockout,synthetic
INV0038,LOT0038,LOC01,68,65,3,0,2026-08-05T18:00:00,stockout,synthetic
INV0039,LOT0039,LOC01,85,79,4,2,2026-08-05T18:00:00,stockout,synthetic
INV0040,LOT0040,LOC01,102,94,5,3,2026-08-05T18:00:00,stockout,synthetic
INV0041,LOT0041,LOC01,3304,3040,165,99,2026-08-05T18:00:00,expiry,synthetic
INV0042,LOT0042,LOC01,2408,2288,120,0,2026-08-05T18:00:00,expiry,synthetic
INV0043,LOT0043,LOC01,2968,2731,148,89,2026-08-05T18:00:00,expiry,synthetic
INV0044,LOT0044,LOC01,2800,2660,140,0,2026-08-05T18:00:00,expiry,synthetic
INV0045,LOT0045,LOC01,2592,2463,129,0,2026-08-05T18:00:00,transfer,synthetic
INV0046,LOT0046,LOC01,1728,1591,86,51,2026-08-05T18:00:00,transfer,synthetic
INV0047,LOT0047,LOC01,1392,1282,69,41,2026-08-05T18:00:00,transfer,synthetic
INV0048,LOT0048,LOC01,1344,1277,67,0,2026-08-05T18:00:00,transfer,synthetic
INV0049,LOT0049,LOC01,1300,1235,65,0,2026-08-05T18:00:00,normal,synthetic
INV0050,LOT0050,LOC01,1700,1615,85,0,2026-08-05T18:00:00,normal,synthetic
INV0051,LOT0051,LOC01,1650,1568,82,0,2026-08-05T18:00:00,normal,synthetic
INV0052,LOT0052,LOC01,1350,1243,67,40,2026-08-05T18:00:00,normal,synthetic
INV0053,LOT0053,LOC01,224,207,11,6,2026-08-05T18:00:00,stockout,synthetic
INV0054,LOT0054,LOC01,168,160,8,0,2026-08-05T18:00:00,stockout,synthetic
INV0055,LOT0055,LOC01,196,187,9,0,2026-08-05T18:00:00,stockout,synthetic
INV0056,LOT0056,LOC01,112,107,5,0,2026-08-05T18:00:00,stockout,synthetic
INV0057,LOT0057,LOC01,2021,1920,101,0,2026-08-05T18:00:00,expiry,synthetic
INV0058,LOT0058,LOC01,2666,2533,133,0,2026-08-05T18:00:00,expiry,synthetic
INV0059,LOT0059,LOC01,2709,2574,135,0,2026-08-05T18:00:00,expiry,synthetic
INV0060,LOT0060,LOC01,2537,2411,126,0,2026-08-05T18:00:00,expiry,synthetic
INV0061,LOT0061,LOC01,2736,2518,136,82,2026-08-05T18:00:00,transfer,synthetic
INV0062,LOT0062,LOC01,2337,2151,116,70,2026-08-05T18:00:00,transfer,synthetic
INV0063,LOT0063,LOC01,2565,2361,128,76,2026-08-05T18:00:00,transfer,synthetic
INV0064,LOT0064,LOC01,2052,1950,102,0,2026-08-05T18:00:00,transfer,synthetic
INV0065,LOT0065,LOC01,800,760,40,0,2026-08-05T18:00:00,normal,synthetic
INV0066,LOT0066,LOC01,525,484,26,15,2026-08-05T18:00:00,normal,synthetic
INV0067,LOT0067,LOC01,625,594,31,0,2026-08-05T18:00:00,normal,synthetic
INV0068,LOT0068,LOC01,850,783,42,25,2026-08-05T18:00:00,normal,synthetic
INV0069,LOT0069,LOC01,138,132,6,0,2026-08-05T18:00:00,stockout,synthetic
INV0070,LOT0070,LOC01,230,219,11,0,2026-08-05T18:00:00,stockout,synthetic
INV0071,LOT0071,LOC01,138,132,6,0,2026-08-05T18:00:00,stockout,synthetic
INV0072,LOT0072,LOC01,368,350,18,0,2026-08-05T18:00:00,stockout,synthetic
INV0073,LOT0073,LOC01,1938,1842,96,0,2026-08-05T18:00:00,expiry,synthetic
INV0074,LOT0074,LOC01,2040,1877,102,61,2026-08-05T18:00:00,expiry,synthetic
INV0075,LOT0075,LOC01,1258,1196,62,0,2026-08-05T18:00:00,expiry,synthetic
INV0076,LOT0076,LOC01,2040,1938,102,0,2026-08-05T18:00:00,expiry,synthetic
INV0077,LOT0077,LOC01,1421,1350,71,0,2026-08-05T18:00:00,transfer,synthetic
INV0078,LOT0078,LOC01,1537,1461,76,0,2026-08-05T18:00:00,transfer,synthetic
INV0079,LOT0079,LOC01,1537,1415,76,46,2026-08-05T18:00:00,transfer,synthetic
INV0080,LOT0080,LOC01,1392,1323,69,0,2026-08-05T18:00:00,transfer,synthetic
INV0081,LOT0081,LOC01,506,466,25,15,2026-08-05T18:00:00,normal,synthetic
INV0082,LOT0082,LOC01,506,481,25,0,2026-08-05T18:00:00,normal,synthetic
INV0083,LOT0083,LOC01,874,831,43,0,2026-08-05T18:00:00,normal,synthetic
INV0084,LOT0084,LOC01,782,743,39,0,2026-08-05T18:00:00,normal,synthetic
INV0085,LOT0085,LOC01,111,106,5,0,2026-08-05T18:00:00,stockout,synthetic
INV0086,LOT0086,LOC01,222,205,11,6,2026-08-05T18:00:00,stockout,synthetic
INV0087,LOT0087,LOC01,259,247,12,0,2026-08-05T18:00:00,stockout,synthetic
INV0088,LOT0088,LOC01,185,171,9,5,2026-08-05T18:00:00,stockout,synthetic
INV0089,LOT0089,LOC01,1330,1264,66,0,2026-08-05T18:00:00,expiry,synthetic
INV0090,LOT0090,LOC01,1540,1463,77,0,2026-08-05T18:00:00,expiry,synthetic
INV0091,LOT0091,LOC01,1680,1546,84,50,2026-08-05T18:00:00,expiry,synthetic
INV0092,LOT0092,LOC01,1435,1364,71,0,2026-08-05T18:00:00,expiry,synthetic
INV0093,LOT0093,LOC01,1908,1756,95,57,2026-08-05T18:00:00,transfer,synthetic
INV0094,LOT0094,LOC01,1044,992,52,0,2026-08-05T18:00:00,transfer,synthetic
INV0095,LOT0095,LOC01,1224,1163,61,0,2026-08-05T18:00:00,transfer,synthetic
INV0096,LOT0096,LOC01,1188,1129,59,0,2026-08-05T18:00:00,transfer,synthetic
INV0097,LOT0097,LOC01,2074,1971,103,0,2026-08-05T18:00:00,normal,synthetic
INV0098,LOT0098,LOC01,1464,1391,73,0,2026-08-05T18:00:00,normal,synthetic
INV0099,LOT0099,LOC01,1464,1391,73,0,2026-08-05T18:00:00,normal,synthetic
INV0100,LOT0100,LOC01,2074,1971,103,0,2026-08-05T18:00:00,normal,synthetic
INV0101,LOT0101,LOC01,81,77,4,0,2026-08-05T18:00:00,stockout,synthetic
INV0102,LOT0102,LOC01,189,180,9,0,2026-08-05T18:00:00,stockout,synthetic
INV0103,LOT0103,LOC01,216,206,10,0,2026-08-05T18:00:00,stockout,synthetic
INV0104,LOT0104,LOC01,162,154,8,0,2026-08-05T18:00:00,stockout,synthetic
INV0105,LOT0105,LOC01,990,912,49,29,2026-08-05T18:00:00,expiry,synthetic
INV0106,LOT0106,LOC01,1170,1077,58,35,2026-08-05T18:00:00,expiry,synthetic
INV0107,LOT0107,LOC01,972,924,48,0,2026-08-05T18:00:00,expiry,synthetic
INV0108,LOT0108,LOC01,1062,1009,53,0,2026-08-05T18:00:00,expiry,synthetic
INV0109,LOT0109,LOC01,900,855,45,0,2026-08-05T18:00:00,transfer,synthetic
INV0110,LOT0110,LOC01,810,770,40,0,2026-08-05T18:00:00,transfer,synthetic
INV0111,LOT0111,LOC01,576,548,28,0,2026-08-05T18:00:00,transfer,synthetic
INV0112,LOT0112,LOC01,756,719,37,0,2026-08-05T18:00:00,transfer,synthetic
INV0113,LOT0113,LOC01,864,821,43,0,2026-08-05T18:00:00,normal,synthetic
INV0114,LOT0114,LOC01,729,693,36,0,2026-08-05T18:00:00,normal,synthetic
INV0115,LOT0115,LOC01,1080,1026,54,0,2026-08-05T18:00:00,normal,synthetic
INV0116,LOT0116,LOC01,621,590,31,0,2026-08-05T18:00:00,normal,synthetic
INV0117,LOT0117,LOC01,408,388,20,0,2026-08-05T18:00:00,stockout,synthetic
INV0118,LOT0118,LOC01,357,340,17,0,2026-08-05T18:00:00,stockout,synthetic
INV0119,LOT0119,LOC01,357,340,17,0,2026-08-05T18:00:00,stockout,synthetic
INV0120,LOT0120,LOC01,153,146,7,0,2026-08-05T18:00:00,stockout,synthetic
