lot_id,sku_id,manufacturing_date,expiry_date,data_status
LOT0035,SKU009,2026-10-02,2027-01-30,synthetic
LOT0036,SKU009,2026-08-06,2026-12-04,synthetic
LOT0037,SKU010,2026-06-25,2026-10-23,synthetic
LOT0038,SKU010,2026-08-10,2026-12-08,synthetic
LOT0039,SKU010,2026-07-12,2026-11-09,synthetic
LOT0040,SKU010,2026-08-05,2026-12-03,synthetic
LOT0041,SKU011,2026-04-23,2026-08-21,synthetic
LOT0042,SKU011,2026-05-01,2026-08-29,synthetic
LOT0043,SKU011,2026-06-03,2026-10-01,synthetic
LOT0044,SKU011,2026-06-07,2026-10-05,synthetic
LOT0045,SKU012,2026-03-22,2026-09-18,synthetic
LOT0046,SKU012,2026-03-31,2026-09-27,synthetic
LOT0047,SKU012,2026-05-13,2026-11-09,synthetic
LOT0048,SKU012,2026-04-27,2026-10-24,synthetic
LOT0049,SKU013,2026-07-20,2026-11-17,synthetic
LOT0050,SKU013,2026-09-30,2027-01-28,synthetic
LOT0051,SKU013,2026-09-28,2027-01-26,synthetic
LOT0052,SKU013,2026-08-04,2026-12-02,synthetic
LOT0053,SKU014,2026-03-14,2026-12-09,synthetic
LOT0054,SKU014,2026-02-08,2026-11-05,synthetic
LOT0055,SKU014,2026-03-26,2026-12-21,synthetic
LOT0056,SKU014,2026-03-03,2026-11-28,synthetic
LOT0057,SKU015,2026-02-22,2026-08-21,synthetic
LOT0058,SKU015,2026-03-28,2026-09-24,synthetic
LOT0059,SKU015,2026-04-15,2026-10-12,synthetic
LOT0060,SKU015,2026-04-07,2026-10-04,synthetic
LOT0061,SKU016,2026-01-03,2026-09-30,synthetic
LOT0062,SKU016,2025-12-18,2026-09-14,synthetic
LOT0063,SKU016,2026-01-24,2026-10-21,synthetic
LOT0064,SKU016,2026-01-05,2026-10-02,synthetic
LOT0065,SKU017,2026-07-13,2027-01-09,synthetic
LOT0066,SKU017,2026-06-29,2026-12-26,synthetic
LOT0067,SKU017,2026-08-23,2027-02-19,synthetic
LOT0068,SKU017,2026-08-11,2027-02-07,synthetic
LOT0069,SKU018,2026-06-27,2026-10-25,synthetic
LOT0070,SKU018,2026-06-18,2026-10-16,synthetic
LOT0071,SKU018,2026-08-13,2026-12-11,synthetic
LOT0072,SKU018,2026-08-30,2026-12-28,synthetic
LOT0073,SKU019,2026-03-01,2026-08-28,synthetic
LOT0074,SKU019,2026-03-20,2026-09-16,synthetic
LOT0075,SKU019,2026-04-07,2026-10-04,synthetic
LOT0076,SKU019,2026-04-13,2026-10-10,synthetic
LOT0077,SKU020,2026-01-17,2026-10-14,synthetic
LOT0078,SKU020,2025-12-20,2026-09-16,synthetic
LOT0079,SKU020,2026-01-01,2026-09-28,synthetic
LOT0080,SKU020,2026-01-13,2026-10-10,synthetic
LOT0081,SKU021,2026-05-26,2026-11-22,synthetic
LOT0082,SKU021,2026-06-03,2026-11-30,synthetic
LOT0083,SKU021,2026-09-02,2027-03-01,synthetic
LOT0084,SKU021,2026-09-07,2027-03-06,synthetic
LOT0085,SKU022,2026-02-28,2026-11-25,synthetic
LOT0086,SKU022,2026-03-21,2026-12-16,synthetic
LOT0087,SKU022,2026-04-28,2027-01-23,synthetic
LOT0088,SKU022,2026-03-02,2026-11-27,synthetic
LOT0089,SKU023,2025-12-15,2026-09-11,synthetic
LOT0090,SKU023,2025-12-02,2026-08-29,synthetic
LOT0091,SKU023,2026-01-04,2026-10-01,synthetic
LOT0092,SKU023,2026-01-02,2026-09-29,synthetic
LOT0093,SKU024,2026-06-04,2026-10-02,synthetic
LOT0094,SKU024,2026-06-02,2026-09-30,synthetic
LOT0095,SKU024,2026-07-02,2026-10-30,synthetic
LOT0096,SKU024,2026-06-14,2026-10-12,synthetic
LOT0097,SKU025,2026-09-21,2027-01-19,synthetic
LOT0098,SKU025,2026-08-16,2026-12-14,synthetic
LOT0099,SKU025,2026-08-21,2026-12-19,synthetic
LOT0100,SKU025,2026-08-31,2026-12-29,synthetic
LOT0101,SKU026,2026-05-19,2026-11-15,synthetic
LOT0102,SKU026,2026-07-13,2027-01-09,synthetic
LOT0103,SKU026,2026-05-11,2026-11-07,synthetic
LOT0104,SKU026,2026-08-02,2027-01-29,synthetic
LOT0105,SKU027,2026-03-16,2026-09-12,synthetic
LOT0106,SKU027,2026-04-04,2026-10-01,synthetic
LOT0107,SKU027,2026-04-12,2026-10-09,synthetic
LOT0108,SKU027,2026-04-22,2026-10-19,synthetic
LOT0109,SKU028,2025-12-14,2026-09-10,synthetic
LOT0110,SKU028,2026-01-29,2026-10-26,synthetic
LOT0111,SKU028,2026-01-23,2026-10-20,synthetic
LOT0112,SKU028,2026-01-27,2026-10-24,synthetic
LOT0113,SKU029,2026-09-27,2027-01-25,synthetic
LOT0114,SKU029,2026-08-02,2026-11-30,synthetic
LOT0115,SKU029,2026-10-08,2027-02-05,synthetic
LOT0116,SKU029,2026-10-09,2027-02-06,synthetic
LOT0117,SKU030,2026-08-24,2026-12-22,synthetic
LOT0118,SKU030,2026-08-09,2026-12-07,synthetic
LOT0119,SKU030,2026-07-28,2026-11-25,synthetic
LOT0120,SKU030,2026-09-14,2027-01-12,synthetic
